Date,Temperature,Humidity,CPU
2013-01-22,48,15,193948.95
2013-01-23,48,15,334606.3
2013-01-24,46,32,383512.25
2013-01-25,42,52,292279.61
2013-01-26,42,61,342323.37
2013-01-27,46,60,273692.65
2013-01-28,38,67,226514.27
2013-01-29,26,63,287997.48
2013-01-30,26,51,316623.44
2013-01-31,36,47,291250.27
2013-02-01,36,51,301951.05
2013-02-02,42,44,276433.58
2013-02-03,38,36,204237.35
2013-02-04,40,24,300363.63
2013-02-05,45,28,321062.15
2013-02-06,42,50,83457.685
2013-02-07,38,55,293370.23
2013-02-08,36,38,214550.48
2013-02-09,32,63,496849.15
2013-02-10,30,57,363413.1
2013-02-11,24,71,283063.36
2013-02-12,28,38,322053.22
2013-02-13,32,33,395718.17
2013-02-14,27,69,297240.23
2013-02-15,30,60,277195.82
2013-02-16,38,29,197270.8
2013-02-17,46,17,189437.12
2013-02-18,32,39,195601.59
2013-02-19,30,45,194892.62
2013-02-20,29,60,132919.78
2013-02-21,24,87,203632.8
2013-02-22,24,66,399697.67
2013-02-23,27,61,287750.56
2013-02-24,28,90,267456.26
2013-02-25,22,70,138594.82
2013-02-26,25,72,272437.78
2013-02-27,28,49,275739.73
2013-02-28,30,36,296911.13
2013-03-01,36,49,300275.04
2013-03-02,44,47,281610.29
2013-03-03,50,31,317096.82
2013-03-04,36,70,248835.08
2013-03-05,26,64,365227.16
2013-03-06,40,60,87873.024
2013-03-07,48,48,256522.84
2013-03-08,39,73,266943.49
2013-03-09,32,87,341909.19
2013-03-10,32,45,280411.79
2013-03-11,44,46,305936.16
2013-03-12,30,83,288708.88
2013-03-13,46,59,389910.54
2013-03-14,56,27,314188.93
2013-03-15,63,17,344940.79
2013-03-16,48,55,339650.15
2013-03-17,46,46,333795.8
2013-03-18,41,24,211517.41
2013-03-19,42,16,296864.33
2013-03-20,36,53,112855.26
2013-03-21,45,37,299500.41
2013-03-22,36,59,332606.32
2013-03-23,22,85,290115.82
2013-03-24,18,67,276200.57
2013-03-25,25,62,274998.15
2013-03-26,30,61,294939.13
2013-03-27,40,66,208353.37
2013-03-28,47,61,231282.16
2013-03-29,50,42,213610.09
2013-03-30,50,49,217677.09
2013-03-31,51,45,70287.243
2013-04-01,40,66,5056.563
2013-04-02,36,88,37093.146
2013-04-03,48,65,113595.46
2013-04-04,54,37,290442.37
2013-04-05,60,29,196784.22
2013-04-06,55,26,196698.91
2013-04-07,52,37,160377.43
2013-04-08,45,58,303046.27
2013-04-09,21,86,212751.59
2013-04-10,19,73,218122.51
2013-04-11,37,69,255202.42
2013-04-12,46,62,288946.95
2013-04-13,34,92,120878.19
2013-04-14,33,48,74440.394
2013-04-15,26,94,168435.81
2013-04-16,28,91,200527.56
2013-04-17,28,90,158966.07
2013-04-18,26,47,209755.37
2013-04-19,40,40,197565.94
2013-04-20,45,54,95087.844
2013-04-21,46,44,8685.22
2013-04-22,36,78,5458.72
2013-04-23,26,72,48512.786
2013-04-24,38,45,132851.26
2013-04-25,47,39,144271.79
2013-04-26,54,26,203226.01
2013-04-27,57,20,136432.83
2013-04-28,64,17,199571.43
2013-04-29,64,24,211601.56
2013-04-30,50,52,215754.99
2013-05-01,30,95,203626.7
2013-05-02,32,58,231688.19
2013-05-03,44,51,115263.83
2013-05-04,45,49,340750.13
2013-05-05,45,50,232985.49
2013-05-06,52,47,163825.32
2013-05-07,56,55,374808.41
2013-05-08,53,67,246406.7
2013-05-09,52,70,286328.6
2013-05-10,52,51,234911.41
2013-05-11,55,46,195007.22
2013-05-12,64,30,238256.07
2013-05-13,72,24,211116.38
2013-05-14,73,22,253262.12
2013-05-15,66,38,163199.55
2013-05-16,66,45,254219.55
2013-05-17,68,32,196034.5
2013-05-18,64,24,180180.97
2013-05-19,60,30,206206.9
2013-05-20,54,55,265410.45
2013-05-21,54,47,210312.81
2013-05-22,58,48,202111.22
2013-05-23,58,69,208869.37
2013-05-24,66,39,189861.91
2013-05-25,70,32,245143.15
2013-05-26,70,19,275949.9
2013-05-27,66,19,146301.74
2013-05-28,64,35,206154.6
2013-05-29,57,60,187810.07
2013-05-30,58,30,246680.46
2013-05-31,58,18,199096.35
2013-06-01,56,41,224105.78
2013-06-02,63,33,293125.85
2013-06-03,71,20,218588.19
2013-06-04,60,51,287922.39
2013-06-05,52,79,50178.39
2013-06-06,60,50,24.1
2013-06-07,65,39,24581.858
2013-06-08,68,34,3652.5621
2013-06-09,68,34,28110.086
2013-06-10,78,20,23916.776
2013-06-11,78,17,90836.152
2013-06-12,75,20,108208.57
2013-06-13,68,62,241039.23
2013-06-14,74,34,263708.36
2013-06-15,68,40,101714.29
2013-06-16,68,41,217082.5
2013-06-17,66,44,207624.1
2013-06-18,68,52,196952.84
2013-06-19,75,37,120894.63
2013-06-20,73,21,115747.19
2013-06-21,76,26,166808.47
2013-06-22,73,38,444228.08
2013-06-23,68,39,270908.53
2013-06-24,74,27,273964.82
2013-06-25,80,15,131532.88
2013-06-26,78,20,406576.94
2013-06-27,80,18,169365.92
2013-06-28,75,39,224100.28
2013-06-29,71,51,280051.47
2013-06-30,70,57,176647.95
2013-07-01,68,52,215753.12
2013-07-02,68,47,50785.958
2013-07-03,72,36,52678.266
2013-07-04,76,28,307323.78
2013-07-05,75,38,140160.93
2013-07-06,78,32,229496.63
2013-07-07,76,37,222870
2013-07-08,78,35,245721.96
2013-07-09,82,24,299057.01
2013-07-10,76,36,318804.49
2013-07-11,81,36,230502.15
2013-07-12,78,43,245119.56
2013-07-13,76,61,181805.65
2013-07-14,68,62,173762.22
2013-07-15,71,67,170052.17
2013-07-16,70,48,161048.2
2013-07-17,73,43,148201.08
2013-07-18,76,41,330850.21
2013-07-19,73,47,213411.58
2013-07-20,74,47,152859.04
2013-07-21,72,48,86965.902
2013-07-22,78,31,150161.08
2013-07-23,76,31,194922.06
2013-07-24,71,47,307883.87
2013-07-25,68,67,257239.67
2013-07-26,70,47,241667.95
2013-07-27,65,65,221992.43
2013-07-28,65,84,312457.74
2013-07-29,65,77,270507.49
2013-07-30,73,48,307963.26
2013-07-31,74,44,266864.96
2013-08-01,74,53,328132.74
2013-08-02,78,39,208096.48
2013-08-03,75,57,265372.17
2013-08-04,72,45,322671.15
2013-08-05,74,45,337032.55
2013-08-06,70,42,294030.2
2013-08-07,68,57,146451.5
2013-08-08,64,66,15691.618
2013-08-09,66,52,261755.76
2013-08-10,69,45,161855.82
2013-08-11,71,40,323050.11
2013-08-12,70,47,283399.17
2013-08-13,66,52,272704.62
2013-08-14,71,35,212732.28
2013-08-15,68,44,254783.78
2013-08-16,72,33,261329.83
2013-08-17,76,35,81189.982
2013-08-18,76,36,160328.52
2013-08-19,77,31,229928.13
2013-08-20,80,26,195925.33
